productSKU,v2ProductCategory,discount
GGOEGAAX0168,Home/Clearance Sale/,0.05
GGOEAHPA004110,Home/Clearance Sale/,0.05
GGOEGOAB021499,Home/Clearance Sale/,0.05
GGOEGOAJ021599,Home/Clearance Sale/,0.05
GGOEYOCR077399,Home/Clearance Sale/,0.05
GGOEGACB023699,Home/Clearance Sale/,0.05
GGOEGOAB022499,Home/Clearance Sale/,0.05
GGOEGOCC077999,Home/Clearance Sale/,0.05
GGOEGOGA016299,Home/Clearance Sale/,0.05
GGOEGAAX0329,Home/Clearance Sale/,0.05
GGOEAOCH077899,Home/Clearance Sale/,0.05
GGOEGCBB074399,Home/Clearance Sale/,0.05
GGOEGFQB013799,Home/Clearance Sale/,0.05
GGOEGOAR013599,Home/Clearance Sale/,0.05
GGOEGOBC078699,Home/Clearance Sale/,0.05
GGOEACCQ017299,Home/Clearance Sale/,0.05
GGOEAOCB077499,Home/Clearance Sale/,0.05
GGOEGOCD078399,Home/Clearance Sale/,0.05
GGOEGCBQ016499,Home/Clearance Sale/,0.05
GGOEGBPB082099,Home/Clearance Sale/,0.05
GGOEGEHQ024099,Home/Clearance Sale/,0.05
GGOEGOAA017199,Home/Clearance Sale/,0.05
GGOEGAAX0592,Home/Clearance Sale/,0.05
GGOEGAAX0344,Home/Clearance Sale/,0.05
GGOEGAAX0364,Home/Clearance Sale/,0.05
GGOEGAAX0338,Home/Clearance Sale/,0.05
GGOEGCVB072399,Home/Clearance Sale/,0.05
GGOEADHH073999,Home/Clearance Sale/,0.05
GGOEGESQ016799,Home/Clearance Sale/,0.05
GGOEGAAX0331,Home/Clearance Sale/,0.05
GGOEGHPB080410,Home/Clearance Sale/,0.05
GGOEGAAX0593,Home/Clearance Sale/,0.05
GGOEGAAX0569,Home/Clearance Sale/,0.05
GGOEGAAX0584,Home/Clearance Sale/,0.05
GGOEGAAX0607,Home/Clearance Sale/,0.05
GGOEGAAX0334,Home/Clearance Sale/,0.05
GGOEGAAX0586,Home/Clearance Sale/,0.05
GGOEGAAX0601,Home/Clearance Sale/,0.05
GGOEGAAX0597,Home/Clearance Sale/,0.05
GGOEGAAX0590,Home/Clearance Sale/,0.05
GGOEGAAX0602,Home/Clearance Sale/,0.05
GGOEAXXX0811,Home/Clearance Sale/,0.05
GGOEGAAX0571,Home/Clearance Sale/,0.05
GGOEGBPB021199,Home/Clearance Sale/,0.05
GGOEGFYQ016599,Home/Clearance Sale/,0.05
GGOEGOAB016099,Home/Clearance Sale/,0.05
GGOEGOCC077299,Home/Clearance Sale/,0.05
GGOEGAAX0320,Home/Clearance Sale/,0.05
GGOEGESB015099,Home/Clearance Sale/,0.05
GGOEGOCR078499,Home/Clearance Sale/,0.05
GGOEGAAX0340,Home/Clearance Sale/,0.05
GGOEGETB023799,Home/Clearance Sale/,0.05
GGOEGPJC203399,Home/Clearance Sale/,0.05
GGOEGBPB081999,Home/Clearance Sale/,0.05
GGOEGCNB021099,Home/Clearance Sale/,0.05
GGOEGOCB017499,Home/Clearance Sale/,0.05
GGOEGAAX0339,Home/Clearance Sale/,0.05
GGOEGAAX0351,Home/Clearance Sale/,0.05
GGOEGCMB020932,Home/Clearance Sale/,0.05
GGOEGOLC013299,Home/Clearance Sale/,0.05
GGOEGAAX0213,Home/Clearance Sale/,0.05
GGOEGXXX0807,Home/Clearance Sale/,0.05
GGOEGAAX0282,Home/Clearance Sale/,0.05
GGOEGEVB071799,Home/Clearance Sale/,0.05
GGOEGEVB070899,Home/Clearance Sale/,0.05
GGOEGHPB003410,Home/Clearance Sale/,0.05
GGOEGAAX0580,Home/Clearance Sale/,0.05
GGOEGAAX0595,Home/Clearance Sale/,0.05
GGOEGDHJ082599,Home/Clearance Sale/,0.05
GGOEGBMC056599,Home/Clearance Sale/,0.05
GGOEGAAX0568,Home/Clearance Sale/,0.05
GGOEGHPJ080310,Home/Clearance Sale/,0.05
GGOEGAAX0578,Home/Clearance Sale/,0.05
GGOEGAAX0606,Home/Clearance Sale/,0.05
GGOEGAAX0327,Home/Clearance Sale/,0.05
GGOEGAAX0363,Home/Clearance Sale/,0.05
GGOEGAAX0598,Home/Clearance Sale/,0.05
GGOEGAAX0566,Home/Clearance Sale/,0.05
GGOEGAAX0579,Home/Clearance Sale/,0.05
GGOEGAAX0588,Home/Clearance Sale/,0.05
GGOEGOAB012999,Home/Clearance Sale/,0.05
GGOEGAAX0570,Home/Clearance Sale/,0.05